 'R'
 'U'
 '9'
 '0'
 '7'
 'I'
 'N'
 'G'
 '6'
 'Z'
 '1'
 '8'
 'T'
 'S'
 'A'
 '_'
 'F'
 'O'
 'H'
 'M'
 'J'
 'C'
 'D'
 'V'
 'Q'
 '4'
 'X'
 '3'
 'E'
 'B'
 'K'
 'L'
 '2'
 'Y'
 '5'
 'P'
 'W'
